sep=;
Producer:;Pfeiffer-Vacuum
Device:;TPG362
Product number:;PT G28 290
Serial number:;44990208
Firmware version:;010500
Filename:;FRN_20240905_141606.csv
Date: / time:;2024-09-05  14:16
Sampletime:;10s
Channel 1:;TPR/PCR
Channel 2:;PKR
Date;Time;Channel 1 [mBar];Channel 2 [mBar];
2024-09-05;14:33:46;6,6675e-01;5,7921e-01;
2024-09-05;14:33:56;5,0819e-01;4,4736e-01;
2024-09-05;14:34:06;3,8610e-01;3,3667e-01;
2024-09-05;14:34:16;2,8035e-01;2,4544e-01;
2024-09-05;14:34:26;1,9377e-01;1,7072e-01;
2024-09-05;14:34:36;1,2450e-01;1,1057e-01;
2024-09-05;14:34:46;7,1865e-02;6,4389e-02;
2024-09-05;14:34:56;3,6623e-02;3,3264e-02;
2024-09-05;14:35:06;1,6955e-02;1,6524e-02;
2024-09-05;14:35:16;8,1575e-03;8,9112e-03;
2024-09-05;14:35:26;4,1143e-03;5,4837e-03;
2024-09-05;14:35:36;2,3216e-03;3,3268e-03;
2024-09-05;14:35:46;1,6867e-03;2,2891e-03;
2024-09-05;14:35:56;1,2821e-03;1,6245e-03;
2024-09-05;14:36:06;1,0642e-03;1,1827e-03;
2024-09-05;14:36:16;9,2077e-04;9,0647e-04;
2024-09-05;14:36:26;7,5995e-04;7,5892e-04;
2024-09-05;14:36:36;7,1964e-04;6,7178e-04;
2024-09-05;14:36:46;6,8616e-04;6,0504e-04;
2024-09-05;14:36:56;6,0639e-04;5,5525e-04;
2024-09-05;14:37:06;5,7484e-04;5,1585e-04;
2024-09-05;14:37:16;5,5829e-04;4,8432e-04;
2024-09-05;14:37:26;5,3260e-04;4,5353e-04;
2024-09-05;14:37:36;5,0119e-04;4,2540e-04;
2024-09-05;14:37:46;5,0119e-04;3,9956e-04;
2024-09-05;14:37:56;5,0119e-04;3,7776e-04;
2024-09-05;14:38:06;5,0119e-04;3,5724e-04;
2024-09-05;14:38:16;5,0119e-04;3,3749e-04;
2024-09-05;14:38:26;5,0119e-04;3,2111e-04;
2024-09-05;14:38:36;5,0119e-04;3,0550e-04;
2024-09-05;14:38:46;5,0119e-04;2,9165e-04;
2024-09-05;14:38:56;5,0119e-04;2,7864e-04;
2024-09-05;14:39:06;5,0119e-04;2,6553e-04;
2024-09-05;14:39:16;5,0119e-04;2,5495e-04;
2024-09-05;14:39:26;5,0119e-04;2,4813e-04;
2024-09-05;14:39:36;5,0119e-04;2,4082e-04;
2024-09-05;14:39:46;5,0119e-04;2,3136e-04;
2024-09-05;14:39:56;5,0119e-04;2,2252e-04;
2024-09-05;14:40:06;5,0119e-04;2,1430e-04;
2024-09-05;14:40:16;5,0119e-04;2,0831e-04;
2024-09-05;14:40:26;5,0119e-04;2,0139e-04;
2024-09-05;14:40:36;5,0119e-04;1,9541e-04;
2024-09-05;14:40:46;5,0119e-04;1,9000e-04;
2024-09-05;14:40:56;5,0119e-04;1,8471e-04;
2024-09-05;14:41:06;5,0119e-04;1,8001e-04;
2024-09-05;14:41:16;5,0119e-04;1,7452e-04;
2024-09-05;14:41:26;5,0119e-04;1,7011e-04;
2024-09-05;14:41:36;5,0119e-04;1,6606e-04;
2024-09-05;14:41:46;5,0119e-04;1,6191e-04;
2024-09-05;14:41:56;5,0119e-04;1,5799e-04;
2024-09-05;14:42:06;5,0119e-04;1,5448e-04;
2024-09-05;14:42:16;5,0119e-04;1,5087e-04;
2024-09-05;14:42:26;5,0119e-04;1,4791e-04;
2024-09-05;14:42:36;5,0119e-04;1,4506e-04;
2024-09-05;14:42:46;5,0119e-04;1,4310e-04;
2024-09-05;14:42:56;5,0119e-04;1,3987e-04;
2024-09-05;14:43:06;5,0119e-04;1,3681e-04;
2024-09-05;14:43:16;5,0119e-04;1,3340e-04;
2024-09-05;14:43:26;5,0119e-04;1,2993e-04;
2024-09-05;14:43:36;5,0119e-04;1,2674e-04;
2024-09-05;14:43:46;5,0119e-04;1,2350e-04;
2024-09-05;14:43:56;5,0119e-04;1,2161e-04;
2024-09-05;14:44:06;5,0119e-04;1,1974e-04;
2024-09-05;14:44:16;5,0119e-04;1,1755e-04;
