sep=;
Hersteller:;Pfeiffer-Vacuum
Gerät:;TPG362
Artikelnummer:;PT G28 290
Seriennummer:;44992684
Firmware Version:;010500
Dateiname:;OIPT LA_20250319_061831.csv
Datum / Zeit:;2025-03-19  06:18
Messintervall:;10s
Sensor 1:;PKR
Sensor 2:;KEIN SENSOR
Datum;Zeit;Sensor 1 [mBar];Sensor 2 [mBar];
2025-03-19;06:35:55;8,3662e-06;0,0000e+00;
2025-03-19;06:36:05;8,4359e-06;0,0000e+00;
2025-03-19;06:36:15;8,5101e-06;0,0000e+00;
2025-03-19;06:36:25;8,5801e-06;0,0000e+00;
2025-03-19;06:36:35;8,6556e-06;0,0000e+00;
2025-03-19;06:36:45;8,7265e-06;0,0000e+00;
2025-03-19;06:36:55;8,7995e-06;0,0000e+00;
2025-03-19;06:37:05;8,8712e-06;0,0000e+00;
2025-03-19;06:37:15;8,9395e-06;0,0000e+00;
2025-03-19;06:37:25;9,0089e-06;0,0000e+00;
2025-03-19;06:37:35;9,0856e-06;0,0000e+00;
2025-03-19;06:37:45;9,1548e-06;0,0000e+00;
2025-03-19;06:37:55;9,2231e-06;0,0000e+00;
2025-03-19;06:38:05;9,2939e-06;0,0000e+00;
2025-03-19;06:38:15;9,3594e-06;0,0000e+00;
2025-03-19;06:38:25;9,4364e-06;0,0000e+00;
2025-03-19;06:38:35;9,5095e-06;0,0000e+00;
2025-03-19;06:38:45;9,5790e-06;0,0000e+00;
2025-03-19;06:38:55;9,6460e-06;0,0000e+00;
2025-03-19;06:39:05;9,7173e-06;0,0000e+00;
2025-03-19;06:39:15;9,7805e-06;0,0000e+00;
2025-03-19;06:39:25;9,8477e-06;0,0000e+00;
2025-03-19;06:39:35;9,9214e-06;0,0000e+00;
2025-03-19;06:39:45;9,9973e-06;0,0000e+00;
2025-03-19;06:39:55;1,0063e-05;0,0000e+00;
2025-03-19;06:40:05;1,0125e-05;0,0000e+00;
2025-03-19;06:40:15;1,0199e-05;0,0000e+00;
2025-03-19;06:40:25;1,0256e-05;0,0000e+00;
2025-03-19;06:40:35;1,0332e-05;0,0000e+00;
2025-03-19;06:40:45;1,0396e-05;0,0000e+00;
2025-03-19;06:40:55;1,0455e-05;0,0000e+00;
2025-03-19;06:41:05;1,0525e-05;0,0000e+00;
2025-03-19;06:41:15;1,0598e-05;0,0000e+00;
2025-03-19;06:41:25;1,0658e-05;0,0000e+00;
2025-03-19;06:41:35;1,0726e-05;0,0000e+00;
2025-03-19;06:41:45;1,0790e-05;0,0000e+00;
2025-03-19;06:41:55;1,0857e-05;0,0000e+00;
2025-03-19;06:42:05;1,0922e-05;0,0000e+00;
2025-03-19;06:42:15;1,0997e-05;0,0000e+00;
2025-03-19;06:42:25;1,1049e-05;0,0000e+00;
2025-03-19;06:42:35;1,1113e-05;0,0000e+00;
2025-03-19;06:42:45;1,1186e-05;0,0000e+00;
2025-03-19;06:42:55;1,1242e-05;0,0000e+00;
2025-03-19;06:43:05;1,1308e-05;0,0000e+00;
2025-03-19;06:43:15;1,1374e-05;0,0000e+00;
2025-03-19;06:43:25;1,1443e-05;0,0000e+00;
2025-03-19;06:43:35;1,1500e-05;0,0000e+00;
2025-03-19;06:43:45;1,1571e-05;0,0000e+00;
2025-03-19;06:43:55;1,1640e-05;0,0000e+00;
2025-03-19;06:44:05;1,1693e-05;0,0000e+00;
2025-03-19;06:44:15;1,1752e-05;0,0000e+00;
2025-03-19;06:44:25;1,1819e-05;0,0000e+00;
2025-03-19;06:44:35;1,1880e-05;0,0000e+00;
2025-03-19;06:44:45;1,1945e-05;0,0000e+00;
2025-03-19;06:44:55;1,2010e-05;0,0000e+00;
2025-03-19;06:45:05;1,2071e-05;0,0000e+00;
2025-03-19;06:45:15;1,2135e-05;0,0000e+00;
2025-03-19;06:45:25;1,2193e-05;0,0000e+00;
2025-03-19;06:45:35;1,2256e-05;0,0000e+00;
2025-03-19;06:45:45;1,2319e-05;0,0000e+00;
2025-03-19;06:45:55;1,2392e-05;0,0000e+00;
